Nombre,Dirección,Categoría,Teléfonos,Sitios Web,Correos Electrónicos,Fuente
#CasaRDBiobío,"Janequeo 403, 4° piso, 4070025 Concepción, Bío Bío",,,,,google_maps
11 Notaría de Concepción,"Cochrane 829, 4070141 Concepción, Bío Bío",,413390463,11notariaconcepcion.cl,11notariaconcepcion@gmail.com,google_maps
11a Notaría de Concepción. René Arriagada,"Cochrane 829, 4070187 Concepción, Bío Bío",,,,,google_maps
14 Chiguayante Sur S.A.,"Los Castaños 819, Chiguayante, Bío Bío",,,,,google_maps
AFITCHILE,"Libertador Gral. Bernardo O'Higgins 1186, 4030000 Concepción, Bío Bío",,412218476,afitchileadvisors.com,contact@sansoxygen.com,google_maps
ALSUR Arquitectura & Diseño,"Av. Tierras Coloradas 9569, 4260000 Concepción, Bío Bío",,996114481,alsur-arquitectura.cl,"contacto@alsur-aquitectura.cl,contacto@alsur-arquitectura.cl",google_maps
ASESORIAS TRIBUTARIAS Y LABORALES LIMITADA,"Av. Los Carrera 41, Concepción, Bío Bío",,,,,google_maps
ATL Consultores Ltda.,"Libertador Gral. Bernardo O'Higgins 491, Concepción, Concepcion Centro, Bío Bío",,412255739,atlconsultores.cl,contacto@atlasesores.cl,google_maps
Apart Hotel Castellón 176,"Castellón 176, 4070156 Concepción, Bío Bío",,979981404,castellon176.cl,"176_png@2x-300x264.png,176_png@2x-e1598562894451.png,contacto@icas.cl",google_maps
Apart Hotel Concepción Suites,"Av. Pdte. Jorge Alessandri Rodriguez 450, 4030000 Concepción, Bío Bío",,984181039,concepcionsuites.com,contacto@concepcionsuites.com,google_maps
Apart Hotel Lomas De San Andres Jorge Antonio San Martin Duran Empresa Individua,"Av. Pdte. Jorge Alessandri Rodriguez 546, Concepción, Bío Bío",,412134478,,,google_maps
Apart Hotel Uman,"Ongolmo 144, edificio A, 4070118 Concepción, Bío Bío",,997496881,,,google_maps
Apart Lomas de San Andrés,"Parque Urbano - Avenida Alessandri, Acceso Lomas de San Andrés 450, Concepción, Bío Bío",,993453813,lomasdesanandres.cl,apart@lomasdesanandres.cl,google_maps
