name,address,website,phone_number,reviews_count,reviews_average,opens_at
Sportlife San Pedro,"Av Parque San Pedro del Valle 115, 4130282 San Pedro de la Paz, Bío Bío",sportlife.cl,(41) 316 8630,317,4.4, Cierra a las 5:45p.m.
Gimnasio Gea Mutatis,"Av. Los Claveles 55, Huertos Familiares, San Pedro de la Paz, Bío Bío",geamutatis.cl,9 4426 6078,221,4.6, Cierra a las 5p.m.
Gimnasio fysis,"Los Cerezos 12, 4130060 San Pedro de la Paz, Bío Bío",m.facebook.com,(41) 319 9573,21,4.6, Cierra a las 5p.m.
Gimnasio Municipal San Pedro De La Paz,"Los Boldos 1835, 4130409 San Pedro de la Paz, Bío Bío",,,81,4.1,
Gimnasio Municipal San Pedro De La Paz,"Los Boldos 1835, 4130409 San Pedro de la Paz, Bío Bío",,,81,4.1,
Iron Tiger Gym,"Av. Pedro Aguirre Cerda 255, 4130305 San Pedro de la Paz, Bío Bío",instagram.com,9 8894 7888,5,5.0, Cierra a las 10:30p.m.
Iron Tiger Gym,"Av. Pedro Aguirre Cerda 255, 4130305 San Pedro de la Paz, Bío Bío",instagram.com,9 8894 7888,5,5.0, Cierra a las 10:30p.m.
Zeus Box S.A.,"Av. Las Rosas 1972, San Pedro de la Paz, Bío Bío",,,24,5.0,
Gimnasio Papelera Norke Skog,"Los Pensamientos 27, 4132846 San Pedro de la Paz, Bío Bío",,,24,4.5,
Gimnasio y centro médico deportivo HEALTHY BODY,"Caletera, Av Michaihue 3400, lote 11, 4030000 San Pedro de la Paz, Bío Bío",instagram.com,,11,4.9, Cierra a las 7p.m.
Gimnasio y centro médico deportivo HEALTHY BODY,"Caletera, Av Michaihue 3400, lote 11, 4030000 San Pedro de la Paz, Bío Bío",instagram.com,,11,4.9, Cierra a las 7p.m.
Gimnasio y centro médico deportivo HEALTHY BODY,"Caletera, Av Michaihue 3400, lote 11, 4030000 San Pedro de la Paz, Bío Bío",instagram.com,,11,4.9, Cierra a las 7p.m.
Gimnasio Candelaria San Pedro De La Paz,"Pje. Costanera 450-498, San Pedro de la Paz, Bío Bío",,,79,4.1,
Gimnasio Candelaria San Pedro De La Paz,"Pje. Costanera 450-498, San Pedro de la Paz, Bío Bío",,,79,4.1,
MUSCLEPRO GYM,"Los Avellanos 1, 4130032 Concepción, San Pedro de la Paz, Bío Bío",,,5,5.0,
MUSCLEPRO GYM,"Los Avellanos 1, 4130032 Concepción, San Pedro de la Paz, Bío Bío",,,5,5.0,
MUSCLEPRO GYM,"Los Avellanos 1, 4130032 Concepción, San Pedro de la Paz, Bío Bío",,,5,5.0,
FOCUS GYM SPP,"C. Itata 8590, 4122343 San Pedro de la Paz, Bío Bío",,9 5241 6098,17,5.0, Abre a las 8a.m. del lun
FOCUS GYM SPP,"C. Itata 8590, 4122343 San Pedro de la Paz, Bío Bío",,9 5241 6098,17,5.0, Abre a las 8a.m. del lun
alfas gym,"René Schneider 580, 4121626 San Pedro de la Paz, Bío Bío",,,1,4.0,
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,Outlet, Abre a las 10a.m. del lun
Local comercial,"Av. Los Carrera 942, Concepción, Bío Bío",,,,
Mega Centro Concepcion,"Concepción, Bío Bío",megacentro.cl,(41) 239 0276,172.0,4.2,Centro comercial, Cierra a las 8p.m.,None Found
Centro Tiendas Concepción,"Barros Arana, 4030538 Concepción, Bío Bío",,,,,Centro comercial,,None Found
Lorenzo di Pontti Mall del Centro - Concepción,"Barros Arana 1080, Local 1902, 4030487 Concepción, Bío Bío",lorenzodipontti.cl,9 9660 0684,18.0,4.4,Tienda de ropa de mujer, Cierra a las 8p.m.,None Found
Mall del Centro Concepción,"Barros Arana 1068, 4070053 Concepción, Bío Bío",malldelcentroconcepcion.cl,,12439.0,4.3,Centro comercial, Cierra a las 8p.m.,"Centro comercial tranquilo con tiendas de marca, patio de comidas luminoso y un multicine."
Sparta Concepción Centro,"Barros Arana 1080, 4070053 Concepción, Bío Bío",sparta.cl,(41) 256 2840,172.0,4.1,Tienda de deportes, Cierra a las 8p.m.,None Found
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24.0,4.2,Outlet, Abre a las 10a.m. del lun,None Found
Mallplaza Mirador Bio Bio,"Av. los Carrera Poniente 301, 4061681 Concepción, Bío Bío",mallplaza.com,600 585 7000,13935.0,4.3,Centro comercial, Cierra a las 8p.m.,None Found
Monarch,"Barros Arana 1068, Local 18, 4070053 Concepción, Bío Bío",monarch.cl,9 5668 0155,,,Tienda de ropa, Cierra a las 8p.m.,None Found
Monarch,"Barros Arana 1068, Local 18, 4070053 Concepción, Bío Bío",monarch.cl,9 5668 0155,,,Tienda de ropa, Cierra a las 8p.m.,None Found
Plaza Música Mall del Centro Concepción,"Barros Arana 1068, 4070053 Concepción, Bío Bío",plazamusica.cl,9 7409 3487,2.0,3.0,Tienda de discos, Cierra a las 8p.m.,None Found
Damir,"Barros Arana 267, 4030000 Concepción, Bío Bío",,9 9761 5287,1.0,5.0,Tienda de ropa, Cierra a las 5p.m.,None Found
CENTRO URBANO,"Anibal Pinto 361, 4070152 Concepción, Bío Bío",,,3.0,5.0,,,None Found
Deposito de pantys Concepción-Comercial Valentina´s,"Galeria Adauy - Anibal Pinto 565, Local 25, 4030000 Concepción, Bío Bío",instagram.com,9 8137 8213,16.0,4.9,Centro comercial, Abre a las 10a.m. del lun,None Found
Centro Concepción,"Concepción, Bío Bío",,,2.0,3.5,Edificio de apartamentos,,None Found
Monarch,"Av. Pdte. Jorge Alessandri Rodriguez 3177, 4300818 Concepción, Talcahuano, Bío Bío",monarch.cl,(41) 248 0062,2.0,2.5,Tienda de ropa,,None Found
Parque Ecuador,"Víctor Lamas 567, Concepción, Bío Bío",concepcion.cl,9 4588 9767,18801.0,4.7,Parque,,"Área verde urbana con juegos, canchas deportivas, parque de patinetas y equipo para hacer ejercicio."
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24.0,4.2,Outlet, Abre a las 10a.m. del lun,None Found
Skatepark Parque Ecuador,"Concepción, Bío Bío",,,342.0,4.5,Parque de BMX,,None Found
Monumento Parque Ecuador,"Concepción, Bío Bío",,,157.0,4.6,Parque,,None Found
Cascada Parque Ecuador,"Concepción, Bío Bío",,,34.0,4.6,Parque,,None Found
Juegos Acuáticos del Parque Ecuador,"Víctor Lamas 301, Concepción, Bío Bío",,,10.0,4.5,Parque acuático, Cierra a las 7p.m.,None Found
Hito Concepción Parque Ecuador,"Víctor Lamas 981, Concepción, Bío Bío",diarioconcepcion.cl,,8.0,4.8,Atracción turística,,None Found
Apartamento Parque Ecuador,"Av. Pedro de Valdivia 159, Concepción, Bío Bío",booking.com,,6.0,4.3,Apartamento turístico,,None Found
El parque,"Janequeo 2117, 4060202 Concepción, Bío Bío",,9 7554 6861,5.0,4.8,Tienda de alimentación, Abre a las 7a.m. del lun,None Found
Banderas Parque Ecuador,"Av. Pedro de Valdivia 45, Concepción, Bío Bío",,,1.0,5.0,Atracción turística,,None Found
EDIFICIO PARQUE VICTOR LAMAS TORRE C,"Bombero Fuentes 27, Concepción, Bío Bío",,,11.0,4.5,Agencia inmobiliaria,,None Found
Mall del Centro Concepción,"Barros Arana 1068, 4070053 Concepción, Bío Bío",malldelcentroconcepcion.cl,,12439.0,4.3,Centro comercial, Cierra a las 8p.m.,"Centro comercial tranquilo con tiendas de marca, patio de comidas luminoso y un multicine."
Juegos Infantiles Parque Ecuador,"5X94+98, Concepción, Bío Bío",,,1.0,5.0,Parque infantil,,None Found
Mallplaza Trébol,"Av. Pdte. Jorge Alessandri Rodriguez 3177, 4300818 Talcahuano, Bío Bío",mallplaza.com,600 585 7000,24750.0,4.5,Centro comercial, Cierra a las 9p.m.,None Found
Sector cascada Parque Ecuador,"Parque Ecuador, Concepción, Bío Bío",,,,,Parque,,None Found
Kaya Unite // Concept Store Mall Plaza El Trébol,"Av. Jorge Alessandri 3177 Local C-113, Concepción, Bío Bío",kayaunite.com,9 4500 9982,2.0,3.0,Tienda de ropa, Cierra a las 9p.m.,None Found
Acceso Escaleras Parque Metropolitano Cerro Caracol Altura Angol,"Concepción, Bío Bío",instagram.com,9 3111 9830,4.0,4.8,Parque, Cierra a las 8p.m.,None Found
Edificio Parque Laguna,"Av. 21 de Mayo 2539, 4030000 Concepción, Bío Bío",,(41) 322 9923,10.0,4.5,Edificio de apartamentos,,None Found
Distrito Andalue,"Av. Andalue 2249, 4133705 San Pedro de la Paz, Bío Bío",distritoandalue.cl,9 4414 2662,9.0,5.0,Tienda de ropa, Abre a las 10:30a.m. del lun,None Found
Zona de Ejercitación Parque Ecuador,"Victor Lamas, Bombero Fuentes, Concepción, Bío Bío",,,,,Parque infantil,,None Found
Tienda Oficial Club Universidad de Chile,"Av. Fernández Albano 0637, 7970719 La Cisterna, Región Metropolitana",tienda.udechile.cl,(2) 2899 9962,144,2.6,Tienda de artículos deportivos coleccionables, Abre a las 10a.m. del lun
Barrio Universitario,"Av. República 8 & Psje Rep, Santiago, Región Metropolitana",,(2) 2673 2027,6,4.2,,
Plaza Perú,"Paicaví 167, 4091005 Concepción, Bío Bío",,9234.0,4.4,Parque, Cierra a las 12a.m.,Los alumnos se reúnen después de clases en este parque urbano rodeado de bares y restaurantes informales.
Pronto Express Plaza Perú,"Av. Chacabuco 1345, 4070105 Concepción, Bío Bío",prontocopec.cl,4.0,4.0,Tienda de alimentación,,None Found
Edificio Plaza Perú,"Augusto D'halmar 1364, 4070104 Concepción, Bío Bío",,1.0,5.0,Complejo de apartamentos,,None Found
Feria de Anticuarios Plaza Perú,"Pl. Perú, Concepción, Bío Bío",,,,Centro comercial, Cierra a las 7p.m.,None Found
Plaza Chile-Perú,"Salvador Izquierdo, 7850249 La Reina, Región Metropolitana",,24.0,4.6,Parque,,None Found
Mercado Orgánico - Plaza Perú,"Isidora Goyenechea 3051, 7550587 Las Condes, Región Metropolitana",,14.0,4.2,Mercado de productos del campo, Abre a las 9a.m. del mié,None Found
Liga Inmortal - Plaza Perú,"Plaza Perú, Concepción, Bío Bío",instagram.com,2.0,5.0,Atracción turística, Abre a las 12a.m. del vie,None Found
Streat Burger | Isidora,"Isidora Goyenechea 3199, 7550083 Santiago, Las Condes Santiago de Chile, Región Metropolitana",streat.cl,9053.0,4.4,Hamburguesería, Cierra a la 1a.m.,"Popular parque céntrico con estacionamiento subterráneo, juegos, bancos y áreas de césped."
Remodelación Eleuterio Ramírez,"4030136 Concepción, Bío Bío",,,38.0,3.8,Complejo de apartamentos,
Strip Paicaví Urbano,"Paicaví 312, Concepción, Bío Bío",paicaviurbano.cl,(41) 246 2726,13.0,4.4,Centro comercial, Cierra a las 8p.m.
El Mercadito Store,"Janequeo 975, local 1, Concepción, Bío Bío",,9 6131 7251,98.0,4.6,Tienda de cómics, Cierra a las 7p.m.
EstudioLK | Proyectos de Cocina,"Diag. Pedro Aguirre Cerda 1057, 4070078 Concepción, Bío Bío",agenda.estudiolk.cl,(51) 259 5700,18.0,4.8,Servicios de diseño, Abre a las 9a.m. del lun
Worker Ant,"petril sn, 4030136 Concepción, Bío Bío",workerant.cl,9 9218 5257,,,Tienda de artículos para el hogar, Abre a las 9a.m. del lun
Comercial Portia Ltda.,"Orompello 11, 4070178 Concepción, Bío Bío",portia.cl,(41) 221 3110,12.0,4.3,Comercio, Abre a las 8:30a.m. del lun
Edificio Paicaví,"Paicaví 630, 4030334 Concepción, Bío Bío",,,,,Complejo de apartamentos,
Busca Pro Gestion Inmobiliaria,"Libertador Gral. Bernardo O'Higgins 1186, OFICINA 603, 4030000 Concepción, Bío Bío",buscapro.cl,9 9099 9868,84.0,4.2,Corredor hipotecario, Abre a las 9:30a.m. del lun
Muebles Santa Ana,"Paicaví 2593, 4060010 Concepción, Bío Bío",tiendamsa.cl,9 5349 9012,3.0,3.3,Tienda de muebles, Cierra a las 7:30a.m. del dom
Muebles Santa Ana,"Paicaví 2593, 4060010 Concepción, Bío Bío",tiendamsa.cl,9 5349 9012,3.0,3.3,Tienda de muebles, Cierra a las 7:30a.m. del dom
DecoraDesign,"Paicaví 1880, 4060598 Concepción, Bío Bío",importacioneschilespa.cl,9 5687 0351,,,Tienda de muebles, 3:30p.m. 
Depto,"Las Heras 1464, 4081464 Concepción, Bío Bío",,,,,Edificio de apartamentos,
paicavi,"Paicaví 1890, 4061473 Concepción, Bío Bío",,,5.0,4.6,Tienda de alimentación, Cierra a las 8:30p.m.,None Found
Strip Paicaví Urbano,"Paicaví 312, Concepción, Bío Bío",paicaviurbano.cl,(41) 246 2726,13.0,4.4,Centro comercial, Cierra a las 8p.m.,None Found
Pronto Copec Paicavi,"Paicaví 1248, 4081372 Concepción, Bío Bío",prontocopec.cl,800 200 354,14.0,3.4,Tienda de alimentación,,None Found
Plaza Madrid Valle Escondido De Paicavi,"C. Almeria 2941, Concepción, Bío Bío",,,120.0,4.4,Parque,,None Found
Plaza Perú,"Paicaví 167, 4091005 Concepción, Bío Bío",,,9234.0,4.4,Parque, Cierra a las 12a.m.,Los alumnos se reúnen después de clases en este parque urbano rodeado de bares y restaurantes informales.
departamento,"Camilo Henríquez 2429, 4030000 Concepción, Bío Bío",,,,,Centro comercial,,None Found
Tienda fisica y virtual #53 concepción calle bona casi esquina duarte,"calle bona casi esquina duarte - 53, Concepción",,,,,,,None Found
Edificio Paicaví,"Paicaví 630, 4030334 Concepción, Bío Bío",,,,,Complejo de apartamentos,,None Found
El Cafe de casa Paicavi,"Libertador Gral. Bernardo O'Higgins 1298, 4070052 Concepción, Bío Bío",,,2.0,5.0,Cafetería,,None Found
Muebles Santa Ana,"Paicaví 2593, 4060010 Concepción, Bío Bío",tiendamsa.cl,9 5349 9012,3.0,3.3,Tienda de muebles, Cierra a las 7:30a.m. del dom,None Found
Muebles Ergoffice,"Paicaví 1745, Concepción, Bío Bío",ergoffice.cl,(41) 223 4951,3.0,5.0,Tienda de muebles,,None Found
Masai Fit Oficial,"Libertador Gral. Bernardo O'Higgins 1298, 4070052 Concepción, Bío Bío",masaifit.com,9 8224 3479,9.0,4.7,Tienda de ropa de deportes,,None Found
Saba Casa Matriz,"Maipú 839, 4030456 Concepción, Bío Bío",saba.cl,(41) 222 8609,894.0,4.3,Tienda de uniformes, Abre a las 9:15a.m. del lun
Esquerre Hnos Ltda,"Arturo Prat 930, 4030558 Concepción, Bío Bío",esquerre.cl,(41) 288 6980,29.0,4.7,Tienda de ropa de trabajo, Abre a las 9a.m. del lun
Pronto Copec Los Carrera,"Av. Los Carrera 801, 4030000 Concepción, Bío Bío",prontocopec.cl,800 200 354,37.0,3.5,Tienda de alimentación,
Paradero cerca casa,"Av. Los Carrera 691, 4030453 Concepción, Bío Bío",,,,,Tienda de alimentación,
Local comercial,"Av. Los Carrera 942, Concepción, Bío Bío",,,,,,
Supermercado Barrio Norte,"Fresia 1901, 4061378 Concepción, Bío Bío",,,34.0,4.2,Supermercado, Cierra a las 3a.m.
Librería Barrio Norte,"Juan de Dios Rivera 1850, 4060752 Concepción, Bío Bío",,9 5922 2095,15.0,4.5,Tienda de bolígrafos, Abre a las 7:10a.m. del lun
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24.0,4.2,Outlet, Abre a las 10a.m. del lun
Ferretería Barrio Norte,"Ainavillo 1866, 4060305 Concepción, Bío Bío",,(41) 291 3687,46.0,4.2,Tienda de herramientas, Abre a las 9:30a.m. del lun
Poblacion Young,"53,, Corbeta Independencia 41, Talcahuano, Bío Bío",,(61) 222 7641,40.0,4.4,Comercio, 3:30p.m.
Barrio Norte,"4060289 Concepción, Bío Bío",,,1.0,4.0,Bus stop,
Distrito Andalue,"Av. Andalue 2249, 4133705 San Pedro de la Paz, Bío Bío",distritoandalue.cl,9 4414 2662,9.0,5.0,Tienda de ropa, Abre a las 10:30a.m. del lun
ventas.conce.ok,"sector Lorenzo Arenas - IV Centenario N° 85, 4060826 Concepción, Bío Bío",,9 8628 6521,,,Tienda de segunda mano,
Kaya Unite // Concept Store Mall Plaza El Trébol,"Av. Jorge Alessandri 3177 Local C-113, Concepción, Bío Bío",kayaunite.com,9 4500 9982,2.0,3.0,Tienda de ropa, Cierra a las 9p.m.
Mallplaza Trébol,"Av. Pdte. Jorge Alessandri Rodriguez 3177, 4300818 Talcahuano, Bío Bío",mallplaza.com,600 585 7000,24750.0,4.5,Centro comercial, Cierra a las 9p.m.
Damir,"Barros Arana 267, 4030000 Concepción, Bío Bío",,9 9761 5287,1.0,5.0,Tienda de ropa, Cierra a las 5p.m.
Almacén Barrio Norte,"Meneses Mascarini - Juan Arcaya N. 390, Llay Llay, Llaillay, Valparaíso",,9 4095 1797,3.0,3.7,Tienda general, Abre a las 7a.m. del dom
Almacen Barrio Norte,"Goepfert 232, Villa Alemana, Valparaíso",,,,,Tienda general,
Ventas s y d,"Ventus 1550, 4000000 Concepción, Bío Bío",,9 3328 9341,,,Tienda de artículos para el hogar, Cierra a las 7p.m.
Barrio Store,"Gral. Novoa 707, 4030000 Concepción, Bío Bío",,9 5678 1049,,,Tienda de alimentación,
Chile Ventas AC,,instagram.com,9 7992 6767,,,Tienda de ropa para jóvenes,
Villa San Francisco,"C. 4, Concepción, Bío Bío",,,29.0,4.1,Condominio,
Villa San Francisco,"El Edén 14-1108, Constitución, Maule",,,5.0,5.0,Urbanización,
Parcela San Francisco,"O-690, 4030000 Concepción, Chiguayante, Bío Bío",parcelassanfrancisco.cl,9 7894 2110,1.0,5.0,Agencia inmobiliaria,
